cell_id,crime_count_total,crime_burglary,crime_robbery,crime_assault,streetlight_count,bus_count,pred_poisson,pred_nb,pred_rf,pred_llm,pred_gwr,gi_star,kde_intensity,id,gi_z
446,1646,129,115,112,131,4,3740.6790037621304,4030.1806653984304,1791.408,3486.1786787962205,3486.1786787962205,0.11662763330560806,1.5442334180944957e-09,446,
447,5945,283,298,425,130,7,4498.799149527484,4891.0929409551145,5948.08,3350.4359861816974,3350.4359861816974,0.7310453508670235,1.544233418261529e-09,447,
448,1319,112,116,77,131,2,3047.2726084566198,3248.299526503834,1530.016,2812.712201276153,2812.712201276153,0.03212539861834869,1.5442334274208049e-09,448,
449,4540,192,378,368,156,10,5635.380578166078,6278.202195199229,5262.832,3880.889829165783,3880.889829165783,0.07775831765412307,1.544233599491993e-09,449,
450,2406,102,187,187,145,9,5215.925593488815,5758.158507789245,2644.244,3419.1677704083213,3419.1677704083213,-0.04912345722583506,1.5442378765709117e-09,450,
451,1451,72,69,102,150,9,5311.317430271084,5882.876480848645,1449.412,3000.25974866223,3000.25974866223,0.04141465136765729,1.5444113742478764e-09,451,
452,4588,277,181,416,118,4,3537.662186543671,3772.865964820416,4923.404,2382.5568732276474,2382.5568732276474,0.49239288968086825,1.5467106233464622e-09,452,
453,2464,99,72,256,266,2,4452.158669356587,5085.583930380794,2556.9,3751.213781288636,3751.213781288636,0.6103706803587237,1.551064878230552e-09,453,
454,21,1,0,1,8,0,462.0448436741997,369.83347442664297,20.053,381.389491986228,381.389491986228,-0.3734339587408692,1.473620106449271e-09,454,
455,6,0,0,1,1,0,205.6444167168567,142.01399742344125,9.571335177495358,149.21645628997115,149.21645628997115,-0.7947893265355472,1.1118003305432507e-09,455,
456,214,4,9,24,33,0,944.8438389262751,861.6551855274952,338.2,448.390736034417,448.390736034417,-0.5635425829790247,8.664568673151336e-10,456,
457,749,65,13,43,114,0,1820.5068943851302,1871.1328656297228,765.124,898.1326014405672,898.1326014405672,-0.5496301076632398,1.1581354080615892e-09,457,
458,773,71,25,46,99,1,2230.1935845597122,2293.926049806007,819.344,942.3685777174162,942.3685777174162,-0.3870895883585164,1.25395145177857e-09,458,
459,1191,102,48,91,96,0,1661.1328479452013,1679.0412968660469,1299.132,809.8037590821973,809.8037590821973,-0.3697096961178744,1.2547390511870003e-09,459,
460,1044,91,36,83,155,0,2145.1915503358255,2271.8259704960305,1090.348,1228.4280217999358,1228.4280217999358,-0.37651610711851996,1.2556886989453328e-09,460,
461,467,18,33,53,95,0,1651.893863212461,1668.0054349604054,612.872,835.5267578973636,835.5267578973636,-0.38670431981131004,1.2755904762813967e-09,461,
462,631,67,13,30,85,0,1556.9340857377974,1555.238546388632,640.676,957.1951280160097,957.1951280160097,-0.5464195364365203,1.3554104933249024e-09,462,
463,95,3,5,6,9,0,489.0028450860772,395.47972780326677,108.688,362.04784074868087,362.04784074868087,-0.5657685790295504,1.4740115920399612e-09,463,
464,1252,129,46,66,266,2,4452.158669356587,5085.583930380794,1286.012,3994.879597888974,3994.879597888974,-0.009055528316374574,1.5352835210260519e-09,464,
465,1606,92,97,133,100,1,2242.1691870519016,2308.4971418617347,1792.976,2245.5716529456226,2245.5716529456226,0.758142572020537,1.5443803782473733e-09,465,
466,3095,216,138,262,116,5,3771.6724149192382,4031.0558890262946,3294.596,4601.127066904064,4601.127066904064,0.5402518047671678,1.5442951406535016e-09,466,
467,2641,194,108,223,92,4,3098.083786002402,3225.0812038709296,2821.044,4586.92887149179,4586.92887149179,0.497658226492688,1.5442355253923724e-09,467,
468,2925,27,38,108,1,2,319.6022559780882,225.82922424515567,2608.78,2501.778829197095,2501.778829197095,0.4680353559741552,1.5442334395529752e-09,468,
469,1304,106,77,74,50,4,2242.160086688898,2200.429711277372,1417.004,4471.998086503587,4471.998086503587,0.5709448656946073,1.5442334181679067e-09,469,
470,1373,117,73,100,157,4,4120.745378537243,4518.695989502671,1462.152,4137.508039950577,4137.508039950577,-0.00019435173062871833,1.5442334180944134e-09,470,
471,2520,135,134,245,16,2,1011.1947644522111,881.4964064059174,2913.828,3792.9420343714387,3792.9420343714387,1.0382328058395534,1.5442334182571949e-09,471,
472,359,26,4,25,7,0,433.6638248348592,343.1271261376662,380.544,2798.5938360151135,2798.5938360151135,0.8437149971167031,1.5442334310565662e-09,472,
